timestamp,T2,T3,T4
42:28.4,0.538472547,4.162703037,4.458586216
42:29.2,0.547818765,4.162703037,4.487262249
42:30.1,0.547818765,4.205588818,4.487262249
42:30.9,0.547818765,4.205588818,4.487262249
42:31.7,0.556995289,4.248445988,4.51591301
42:32.6,0.556995289,4.248445988,4.51591301
42:33.5,0.556995289,4.248445988,4.51591301
42:34.3,0.566002656,4.291275501,4.544538975
42:35.1,0.566002656,4.291275501,4.544538975
42:35.9,0.566002656,4.291275501,4.544538975
42:36.8,0.574841408,4.291275501,4.573139668
42:37.6,0.574841408,4.334077358,4.573139668
42:38.5,0.574841408,4.334077358,4.573139668
42:39.2,0.617208203,4.334077358,4.466827393
42:40.0,0.617208203,4.378306389,4.466827393
42:40.9,0.617208203,4.378306389,4.466827393
42:41.7,0.617208203,4.378306389,4.360516071
42:42.6,0.659299255,4.422519684,4.360516071
42:43.4,0.659299255,4.422519684,4.360516071
42:44.2,0.659299255,4.422519684,4.254206181
42:45.0,0.701115039,4.466716766,4.254206181
42:45.8,0.701115039,4.466716766,4.254206181
42:46.7,0.701115039,4.466716766,4.14789772
42:47.6,0.742656026,4.51089716,4.14789772
42:48.4,0.742656026,4.51089716,4.14789772
42:49.2,0.783922687,4.55506134,4.041590691
42:50.1,0.783922687,4.55506134,4.041590691
42:50.9,0.783922687,4.55506134,4.041590691
42:51.8,0.82491549,4.599208832,3.935285091
42:52.6,0.82491549,4.599208832,3.935285091
42:53.4,0.82491549,4.599208832,3.935285091
42:54.3,0.865634903,4.599208832,3.828980923
42:55.2,0.865634903,4.643339634,3.828980923
42:56.2,0.865634903,4.643339634,3.828980923
42:57.0,0.906081395,4.687453747,3.722678185
42:57.9,0.906081395,4.687453747,3.722678185
42:58.8,0.906081395,4.687453747,3.722678185
42:59.6,0.946335832,4.730882645,3.611725569
43:00.4,0.946335832,4.730882645,3.611725569
43:01.2,0.946335832,4.730882645,3.611725569
43:02.0,0.986318483,4.774295807,3.500774384
43:02.9,0.986318483,4.774295807,3.500774384
43:03.7,0.986318483,4.774295807,3.500774384
43:04.6,0.986318483,4.774295807,3.389824867
43:05.5,1.026029817,4.817691803,3.389824867
43:06.3,1.026029817,4.817691803,3.389824867
43:07.0,1.026029817,4.817691803,3.27887702
43:07.9,1.065470306,4.861071587,3.27887702
43:08.7,1.065470306,4.861071587,3.27887702
43:09.5,1.104640421,4.861071587,3.167930841
43:10.4,1.104640421,4.904434681,3.167930841
43:11.2,1.104640421,4.904434681,3.167930841
43:12.0,1.143540635,4.947781086,3.056986094
43:12.8,1.143540635,4.947781086,3.056986094
43:13.7,1.143540635,4.947781086,3.056986094
43:14.5,1.18217142,4.947781086,2.946043015
43:15.3,1.18217142,4.991110325,2.946043015
43:16.1,1.18217142,4.991110325,2.946043015
43:17.1,1.220533254,5.034423351,2.835101366
43:18.0,1.220533254,5.034423351,2.835101366
43:18.9,1.220533254,5.034423351,2.835101366
43:19.7,1.258626612,5.077718735,2.724161386
43:20.5,1.258626612,5.077718735,2.724161386
43:21.3,1.258626612,5.077718735,2.724161386
43:22.1,1.260986734,5.11970377,2.751113176
43:23.0,1.260986734,5.11970377,2.751113176
43:23.9,1.260986734,5.11970377,2.751113176
43:24.8,1.26320062,5.16165781,2.778037548
43:25.6,1.26320062,5.16165781,2.778037548
43:26.5,1.26320062,5.16165781,2.778037548
43:27.2,1.265268829,5.203580856,2.80493474
43:28.1,1.265268829,5.203580856,2.80493474
43:29.0,1.265268829,5.203580856,2.80493474
43:29.9,1.267753439,5.242686272,2.846245289
43:30.7,1.267753439,5.242686272,2.846245289
43:31.5,1.267753439,5.242686272,2.846245289
43:32.4,1.270097148,5.242686272,2.887513638
43:33.2,1.270097148,5.281763077,2.887513638
43:33.9,1.270097148,5.281763077,2.887513638
43:34.8,1.272300606,5.320811272,2.928739786
43:35.7,1.272300606,5.320811272,2.928739786
43:36.5,1.272300606,5.320811272,2.928739786
43:37.3,1.274364458,5.359830856,2.969923258
43:38.2,1.274364458,5.359830856,2.969923258
43:39.0,1.274364458,5.359830856,2.969923258
43:39.8,1.274364458,5.359830856,3.011064291
43:40.6,1.276289345,5.398821831,3.011064291
43:41.5,1.276289345,5.398821831,3.011064291
43:42.3,1.303597314,5.398821831,3.053253174
43:43.1,1.303597314,5.369475842,3.053253174
43:44.0,1.303597314,5.369475842,3.053253174
43:44.9,1.330670399,5.340130329,3.095413685
43:45.7,1.330670399,5.340130329,3.095413685
43:46.6,1.330670399,5.340130329,3.095413685
43:47.5,1.357509166,5.340130329,3.137545824
43:48.3,1.357509166,5.31078434,3.137545824
43:49.2,1.357509166,5.31078434,3.137545824
43:50.1,1.368505906,5.31078434,3.154948711
43:51.0,1.368505906,5.298655033,3.154948711
43:51.8,1.368505906,5.298655033,3.154948711
43:52.6,1.385549619,5.298655033,3.179723024
43:53.4,1.385549619,5.281438828,3.179723024
43:54.3,1.385549619,5.281438828,3.179723024
43:55.2,1.385549619,5.281438828,3.179723024
43:55.9,1.385549619,5.281438828,3.179723024
43:56.8,1.385549619,5.281438828,3.179723024
43:57.7,1.385549619,5.281438828,3.179723024
43:58.6,1.385549619,5.281438828,3.221936464
43:59.4,1.414468149,5.252092838,3.221936464
44:00.1,1.414468149,5.252092838,3.221936464
44:00.9,1.414468149,5.252092838,3.221936464
