Timestamps,T1_LEVEL,T2_LEVEL,T0_LEVEL,P_RAW1_FLOW,P_RAW1_STATUS,P_RAW2_FLOW,P_RAW2_STATUS,P_B2_FLOW,P_B2_STATUS,P_B1_FLOW,P_B1_STATUS,V_Gi_G_FLOW,V_Gi_G_STATUS,V_Gi_B_FLOW,V_Gi_B_STATUS,V_SWaT_FLOW,V_SWaT_STATUS,V_PUB_FLOW,V_PUB_STATUS,V_ER2i_FLOW,V_ER2i_STATUS,V_ER2o_FLOW,V_ER2o_STATUS,V_ER1i_FLOW,V_ER1i_STATUS,V_ER1o_FLOW,V_ER1o_STATUS,FCV_ER_FLOW,FCV_ER_STATUS,FCV_RWin_FLOW,FCV_RWin_STATUS,Attack#01,Attack#02
2020-07-16 10:45:42.119997,0.32128829999999997,0.42899067951519765,0.3976007508565731,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0013516142986980863,1,0,0,0.0,1,0,0,0.0,0,0,1,0.0013516142986980863,1,0,0
2020-07-16 10:45:42.442474,0.32128829999999997,0.42899067951519765,0.42447906365850807,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0013456631198644744,1,0,0,0.0,1,0,0,0.0,0,0,1,0.0013456631198644744,1,0,0
2020-07-16 10:45:42.832250,0.32128829999999997,0.42899067951519765,0.45123903083004824,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0013397157866870757,1,0,0,0.0,1,0,0,0.0,0,0,1,0.0013397157866870757,1,0,0
2020-07-16 10:45:43.154620,0.32128829999999997,0.42899067951519765,0.47788072884622834,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0013337723108469675,1,0,0,0.0,1,0,0,0.0,0,0,1,0.0013337723108469675,1,0,0
2020-07-16 10:45:43.654768,0.32128829999999997,0.42899067951519765,0.5044042344143742,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0013278327041194057,1,0,0,0.0,1,0,0,0.0,0,0,1,0.0013278327041194057,1,0,0
2020-07-16 10:45:44.024902,0.32128829999999997,0.42899067951519765,0.5308096244759755,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.001321896978374147,1,0,0,0.0,1,0,0,0.0,0,0,1,0.001321896978374147,1,0,0
2020-07-16 10:45:44.490783,0.32128829999999997,0.42899067951519765,0.5570969762085642,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0013159651455757913,1,0,0,0.0,1,0,0,0.0,0,0,1,0.0013159651455757913,1,0,0
2020-07-16 10:45:44.924835,0.32128829999999997,0.42899067951519765,0.5832663670276022,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.001310037217784147,1,0,0,0.0,1,0,0,0.0,0,0,1,0.001310037217784147,1,0,0
2020-07-16 10:45:45.279108,0.32128829999999997,0.42899067951519765,0.6093178745883727,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0013041132071546226,1,0,0,0.0,1,0,0,0.0,0,0,1,0.0013041132071546226,1,0,0
2020-07-16 10:45:45.721357,0.32128829999999997,0.42899067951519765,0.6352515767878832,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0012981931259386386,1,0,0,0.0,1,0,0,0.0,0,0,1,0.0012981931259386386,1,0,0
2020-07-16 10:45:46.092856,0.32128829999999997,0.42899067951519765,0.6610675517667737,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:46.440558,0.32128829999999997,0.42899067951519765,0.6610675517667737,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:46.738300,0.32128829999999997,0.42899067951519765,0.6610675517667737,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:47.218676,0.32128829999999997,0.42899067951519765,0.6610675517667737,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:47.646174,0.32128829999999997,0.42899067951519765,0.6610675517667737,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:47.993632,0.32128829999999997,0.42899067951519765,0.6610675517667737,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:48.338888,0.32128829999999997,0.42899067951519765,0.6610675517667737,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:48.608261,0.32128829999999997,0.42899067951519765,0.6610675517667737,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:49.227246,0.32128829999999997,0.42899067951519765,0.6610675517667737,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:49.520774,0.32128829999999997,0.42899067951519765,0.6610675517667737,0,0,0,0,0,0,0,0,1.4041398066662715e-05,1,0,0,0.0,0,0.0,0,0,0,1.4041398066662715e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:49.782561,0.32128829999999997,0.42866289035556315,0.6610675517667737,0,0,0,0,0,0,0,0,3.417416718841685e-05,1,0,0,0.0,0,0.0,0,0,0,3.417416718841685e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:50.190383,0.32128829999999997,0.4278651121364194,0.6610675517667737,0,0,0,0,0,0,0,0,2.7924411286955867e-05,1,0,0,0.0,0,0.0,0,0,0,2.7924411286955867e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
2020-07-16 10:45:50.695239,0.32128829999999997,0.42721323122929133,0.6610675517667737,0,0,0,0,0,0,0,0,2.720540530289278e-05,1,0,0,0.0,0,0.0,0,0,0,2.7205405302892784e-05,1,0,0,0.0,0,0,1,0.0,1,0,0
