timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
41:16.0,3.112494029,59,40.88104328,22.53979104,36.94997973,29.08462304,37.12184014,37.12718056,2.977237533,2.97322627,0.09223731,0.092255043,1,1,0,0
41:16.6,3.174569797,59,41.16350371,23.17709513,37.34913599,29.28051742,37.5208168,37.52607636,2.977582208,2.973631679,0.091480533,0.091498049,1,1,0,0
41:17.2,3.24843771,59,41.22961428,23.24698954,37.38953258,29.35220082,37.56119526,37.56644665,2.977617012,2.973672616,0.091403819,0.091421313,1,1,0,0
41:17.7,3.322126137,59,41.29556898,23.31671687,37.42984119,29.42371336,37.60148578,37.60672903,2.977651726,2.973713448,0.091327249,0.091344721,1,1,0,0
41:18.3,3.395635415,59,41.36136807,23.3862774,37.47006194,29.49505534,37.64168849,37.64692362,2.97768635,2.973754173,0.091250823,0.091268273,1,1,0,0
41:18.9,3.46896588,59,39.42229223,23.05680908,36.2913346,29.11929497,36.46349294,36.4689675,2.976665735,2.972553716,0.093481236,0.093499328,1,1,0,0
41:19.4,3.485483521,59,39.43774206,23.07279124,36.30072636,29.13567197,36.47288044,36.47835308,2.976673915,2.972563338,0.09346354,0.093481627,1,1,0,0
41:20.1,3.501959761,59,39.45315357,23.08873359,36.31009522,29.15200821,36.48224504,36.48771577,2.976682074,2.972572934,0.093445886,0.093463968,1,1,0,0
41:20.6,3.518394696,59,39.46852686,23.10463623,36.31944121,29.16830377,36.4915868,36.49705562,2.976690212,2.972582507,0.093428275,0.093446351,1,1,0,0
41:21.2,3.534788425,59,38.56343571,28.8924117,36.30037259,29.17933252,36.47252683,36.47799955,2.976673606,2.972562975,0.093464206,0.093482293,1,1,0,0
41:21.7,3.549522295,59,38.57751199,28.90681556,36.30886437,29.19395102,36.48101475,36.48648573,2.976681001,2.972571673,0.093448205,0.093466287,1,1,0,0
41:22.3,3.564218727,59,38.59155289,28.92118304,36.3173351,29.20853261,36.48948165,36.49495089,2.976688378,2.972580349,0.093432243,0.09345032,1,1,0,0
41:22.9,3.578877813,59,38.60555851,28.93551422,36.32578485,29.22307738,36.49792756,36.50339508,2.976695736,2.972589004,0.093416319,0.093434392,1,1,0,0
41:23.5,3.593499643,59,39.28346284,31.51727004,36.9233114,29.67348335,37.09518383,37.10052966,2.977214455,2.973199125,0.092287792,0.09230554,1,1,0,0
41:24.0,3.66520959,59,39.35009698,31.58649908,36.96354682,29.74307849,37.13540112,37.14073878,2.977249271,2.973240077,0.092211624,0.09222935,1,1,0,0
41:24.6,3.736741329,59,39.41657204,31.65555959,37.00369303,29.81250395,37.17552923,37.18085874,2.977283997,2.973280921,0.092135602,0.092153306,1,1,0,0
41:25.2,3.808095201,59,39.48288831,31.72445189,37.04375014,29.88176006,37.21556829,37.22088969,2.977318631,2.973321658,0.092059727,0.092077409,1,1,0,0
41:25.7,3.879271548,59,39.43622482,31.02491237,36.64708471,29.70654121,36.81908189,36.82448389,2.976975047,2.972917532,0.092810102,0.092828,1,1,0,0
41:26.3,3.925898979,59,39.47981456,31.07022077,36.67354208,29.75220695,36.84552729,36.8509239,2.976998007,2.972944537,0.09276012,0.092778004,1,1,0,0
41:26.9,3.972409469,59,39.52329797,31.11541699,36.69993791,29.79775984,36.87191118,36.87730242,2.977020907,2.972971473,0.092710245,0.092728114,1,1,0,0
41:27.4,4.018803266,59,39.56667528,31.16050127,36.7262723,29.84320014,36.89823368,36.90361956,2.977043748,2.972998338,0.092660476,0.092678331,1,1,0,0
41:28.0,4.06508062,59,39.17836655,29.47286147,36.51030072,29.71141644,36.6823598,36.68778967,2.976856248,2.9727778,0.093068354,0.093086326,1,1,0,0
41:28.6,4.080385848,59,39.19294823,29.4878195,36.51913188,29.72659755,36.69118696,36.69661502,2.976863923,2.972786827,0.093051688,0.093069656,1,1,0,0
41:29.1,4.095652084,59,39.20749318,29.50273965,36.52794112,29.74174023,36.69999221,36.70541848,2.976871578,2.972795831,0.093035062,0.093053025,1,1,0,0
41:29.7,4.110879421,59,39.22200149,29.51762201,36.5367285,29.75684458,36.70877561,36.71420009,2.976879214,2.972804812,0.093018477,0.093036435,1,1,0,0
41:30.3,4.126067954,59,39.21361521,29.4653885,36.28038539,29.75156776,36.4525487,36.4580255,2.976656197,2.972542498,0.093501864,0.093519961,1,1,0,0
41:30.8,4.132637726,59,39.21990083,29.47183507,36.28420571,29.75811145,36.45636729,36.46184331,2.976659525,2.972546412,0.093494666,0.093512762,1,1,0,0
41:31.4,4.139190659,59,39.22617042,29.47826517,36.28801636,29.76463843,36.46017621,36.46565145,2.976662844,2.972550316,0.093487487,0.09350558,1,1,0,0
41:32.0,4.145726794,59,39.23242402,29.48467884,36.29181735,29.77114873,36.46397547,36.46944994,2.976666155,2.97255421,0.093480325,0.093498417,1,1,0,0
41:32.6,4.152246174,59,39.07268355,28.91782879,35.37743751,29.68936956,35.55001249,35.55567464,2.975866113,2.971613195,0.095197497,0.095216088,1,1,0,0
41:33.1,4.123822478,59,39.045704,28.89024586,35.36086244,29.6613374,35.53344501,35.53911058,2.975851544,2.971596059,0.095228522,0.095247122,1,1,0,0
41:33.7,4.095471371,59,39.01879309,28.8627324,35.34433076,29.63337592,35.5169209,35.52258988,2.975837011,2.971578965,0.095259462,0.095278071,1,1,0,0
41:34.3,4.067192652,59,38.99195064,28.83528823,35.32784232,29.60548492,35.50044002,35.5061124,2.975822514,2.971561914,0.095290317,0.095308935,1,1,0,0
41:34.8,4.038986126,59,38.85081537,23.81646746,35.1191536,29.40325249,35.291847,35.29756248,2.975638827,2.97134586,0.095680536,0.095699268,1,1,0,0
41:35.4,3.986756844,59,38.80179095,23.76659473,35.08906213,29.35221471,35.26176935,35.26749104,2.97561231,2.97131467,0.095736756,0.095755504,1,1,0,0
41:36.0,3.934659098,59,38.75288919,23.7168446,35.05904995,29.30130252,35.23177096,35.23749886,2.975585856,2.971283554,0.095792816,0.09581158,1,1,0,0
41:36.5,3.882692515,59,38.70410974,23.66721673,35.02911683,29.25051559,35.20185159,35.20758567,2.975559463,2.971252511,0.095848716,0.095867497,1,1,0,0
41:37.1,3.830856721,59,38.72024114,22.15303108,35.48839023,29.27027862,35.66091443,35.66655372,2.975963574,2.97172783,0.094989726,0.095008256,1,1,0,0
41:37.7,3.78757409,59,38.67947055,22.11161054,35.46354323,29.22783649,35.63607879,35.6417232,2.975941758,2.971702169,0.095036269,0.095054812,1,1,0,0
41:38.2,3.744400356,59,38.63880198,22.07029215,35.43876108,29.18549911,35.61130798,35.61695749,2.975919993,2.971676569,0.095082682,0.095101239,1,1,0,0
41:38.8,3.701335213,59,38.59823515,22.02907566,35.41404359,29.1432662,35.58660181,35.59225641,2.975898279,2.97165103,0.095128966,0.095147537,1,1,0,0
41:39.4,3.658378361,59,38.66206287,22.45047085,35.69492246,29.17598352,35.86735227,35.87294906,2.976144713,2.971940887,0.094602537,0.094620955,1,1,0,0
41:39.9,3.626516289,59,38.63194056,22.41983401,35.67662646,29.14459888,35.84906463,35.85466518,2.976128681,2.97192203,0.09463686,0.094655287,1,1,0,0
41:40.5,3.594734521,59,38.60189383,22.38927325,35.65837781,29.11329223,35.83082432,35.83642862,2.976112688,2.971903219,0.094671089,0.094689527,1,1,0,0
41:41.1,3.563032838,59,38.5719225,22.35878837,35.64017639,29.08206335,35.8126312,35.81823925,2.976096734,2.971884453,0.094705226,0.094723673,1,1,0,0
41:41.7,3.531411024,59,38.81120826,27.32160115,36.24383168,29.17228844,36.41601158,36.42149585,2.976624349,2.972505038,0.093570721,0.093588839,1,1,0,0
41:42.3,3.544912336,59,38.82402731,27.33475847,36.25158713,29.18569198,36.42376351,36.42924619,2.976631107,2.972512987,0.093556114,0.093574227,1,1,0,0
41:42.8,3.55837947,59,38.83681423,27.34788267,36.25932339,29.1990618,36.43149626,36.43697736,2.976637848,2.972520916,0.093541541,0.093559651,1,1,0,0
41:43.4,3.571812511,59,38.84956908,27.36097383,36.26704051,29.21239796,36.43920988,36.4446894,2.976644572,2.972528824,0.093527004,0.09354511,1,1,0,0
41:44.0,3.58521154,59,39.05989726,28.58814939,36.44040716,29.2923696,36.61249789,36.61794202,2.976795482,2.972706326,0.093200216,0.093218227,1,1,0,0
41:44.6,3.614418945,59,39.08736398,28.61648708,36.45703538,29.32117188,36.62911858,36.63455931,2.976809943,2.972723335,0.093168851,0.093186853,1,1,0,0
