Timestamps,T1_LEVEL,T2_LEVEL,T0_LEVEL,P_RAW1_FLOW,P_RAW1_STATUS,P_RAW2_FLOW,P_RAW2_STATUS,P_B2_FLOW,P_B2_STATUS,P_B1_FLOW,P_B1_STATUS,V_Gi_G_FLOW,V_Gi_G_STATUS,V_Gi_B_FLOW,V_Gi_B_STATUS,V_SWaT_FLOW,V_SWaT_STATUS,V_PUB_FLOW,V_PUB_STATUS,V_ER2i_FLOW,V_ER2i_STATUS,V_ER2o_FLOW,V_ER2o_STATUS,V_ER1i_FLOW,V_ER1i_STATUS,V_ER1o_FLOW,V_ER1o_STATUS,FCV_ER_FLOW,FCV_ER_STATUS,FCV_RWin_FLOW,FCV_RWin_STATUS
2020-05-20 19:20:37.445128,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:37.492943,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:37.552467,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:37.611996,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:37.655908,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:37.698964,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:37.742912,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:37.788776,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:37.835614,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:37.879525,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:37.933195,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:37.987841,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:38.040535,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:38.087374,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:38.134212,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:38.178125,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:38.223010,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:38.270358,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:38.313294,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:38.355264,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:38.400142,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:38.444053,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:38.489401,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:38.554782,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:38.616257,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:38.665071,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:38.710534,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:38.754445,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:38.800308,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:38.846172,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:38.890083,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:38.932043,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:38.974979,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.017915,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.060850,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.112148,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.164843,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.212240,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.258103,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.303536,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.348423,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.392872,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.436782,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.479756,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.523865,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.565825,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.608186,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.652115,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.696984,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.743826,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.794097,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.841911,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.885823,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.930710,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:39.973645,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:40.016580,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:40.065372,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:40.110259,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:40.154170,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:40.201985,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
2020-05-20 19:20:40.249799,0.32128829999999997,0.1466137999999999,0.5629288000000001,,1,,0,,0,,0,,1,,0,,0,,2,,2,,2,,0,,0,,2,,2
