,J_CT3,J_CT6,J_CT5,J2a_15,J1_70,J1_40,J1_50,J1_51,J1_60,J1_61,J2c_12,J2c_14,Jb_53,J2c_11,J2c_13,J2a_20,J2a_30,J2a_33,J2a_23,J2a_41,J_CT1,J_CT2,J1_11,J1_30,J2b_21,J2b_40,J2b_30,J2b_31,J2b_50,J2b_41,J2c_10,J_CT4,J2b_10,J1_10,J1_20,J2a_31,J2a_32,J2a_21,J2a_22,J1-CLin,J2a_40,J1-MPA,J1_33,J1_31,RWtank_Top,J1_34,J2a_10,J2a_12,J2a_13,J2a_14,ER2_Top,ER1_Top,J2b_11,J2b_12,J2b_14,J2b_Leak,J2b_15,J2b_20,J2b_51,J2b_52,J2a_11,J1_32,SWaT,PUB,T1,T2,T0
1200,0.18916012,0.18916012,0.1888145,1.5243331,0.7443331,1.5929323,1.5929323,0.7443331,1.5929323,0.7443331,0.18916012,-0.010839878,-0.030839877,0.18918192,0.18916012,0.044333063,0.044333063,1.4710268,1.4709142,1.4706299,0.1888674,0.1888145,1.0629324,0.90293235,0.31415945,1.6141595,1.6141595,1.6891601,0.38916013,1.6891601,0.18921302,0.1888674,0.89062995,9.2,4.04,-0.008816019,1.2910267,0.2212881,1.5212882,1.6429324,1.4707593,1.6429324,1.6429324,1.6429324,-0.5070676,1.5929323,1.4443331,1.744333,1.5243331,1.5243331,-0.65881604,-0.4287119,1.4698098,0.76973784,0.7694906,0.76965356,0.059404004,1.3941594,1.4691601,1.4691601,1.4443331,1.6429324,7.6293944e-08,3.8146972e-08,0.3212881,0.09118398,0.5629324
1260,0.18658906,0.18658906,0.18624766,1.5426164,0.7626164,1.5929327,1.5929327,0.7626164,1.5929327,0.7626164,0.18658906,-0.013410942,-0.03341094,0.18661056,0.18658906,0.06261639,0.06261639,1.4684325,1.4683216,1.4680407,0.18629983,0.18624766,1.0629326,0.90293264,0.29836538,1.5983654,1.5983654,1.686589,0.38658905,1.686589,0.18664123,0.18629983,0.8880407,9.2,4.04,-0.011412081,1.2884326,0.2212881,1.5212882,1.6429327,1.4681684,1.6429327,1.6429327,1.6429327,-0.5070673,1.5929327,1.4626164,1.7626164,1.5426164,1.5426164,-0.66141206,-0.4287119,1.4672306,0.7671595,0.7669153,0.76707625,0.05682989,1.3783654,1.4665891,1.4665891,1.4626164,1.6429327,7.6293944e-08,3.8146972e-08,0.3212881,0.08858792,0.56293267
1320,0.18404458,0.18404458,0.183709,1.6687973,0.8887972,1.5929328,1.5929328,0.8887972,1.5929328,0.8887972,0.18404458,-0.015955409,-0.035955407,0.1840658,0.18404458,0.1887972,0.1887972,1.4658564,1.4657474,1.4654714,0.18376045,0.183709,1.0629328,0.9029328,0.29594693,1.5959469,1.5959469,1.6840446,0.3840446,1.6840446,0.18409604,0.18376045,0.8854714,9.2,4.04,-0.013990848,1.2858564,0.2212881,1.5212882,1.6429328,1.4655968,1.6429328,1.6429328,1.6429328,-0.5070672,1.5929328,1.5887972,1.8887972,1.6687973,1.6687973,-0.66399086,-0.4287119,1.4646752,0.7646053,0.7643654,0.7645235,0.05428135,1.3759469,1.4640446,1.4640446,1.5887972,1.6429328,7.6293944e-08,3.8146972e-08,0.3212881,0.08600915,0.5629328
1380,0.1815058,0.1815058,0.18117297,1.6867205,0.9067205,1.5929329,1.5929329,0.9067205,1.5929329,0.9067205,0.1815058,-0.018494207,-0.038494207,0.18152687,0.1815058,0.20672053,0.20672053,1.463303,1.4631948,1.462921,0.18122397,0.18117297,1.062933,0.90293294,0.30608556,1.6060855,1.6060855,1.6815058,0.3815058,1.6815058,0.1815568,0.18122397,0.882921,9.2,4.04,-0.016545635,1.2833029,0.2212881,1.5212882,1.6429329,1.4630455,1.6429329,1.6429329,1.6429329,-0.507067,1.5929329,1.6067206,1.9067205,1.6867205,1.6867205,-0.6665456,-0.4287119,1.4621311,0.762062,0.76182395,0.7619809,0.05174066,1.3860855,1.4615058,1.4615058,1.6067206,1.6429329,7.6293944e-08,3.8146972e-08,0.3212881,0.08345436,0.56293297
1440,0.17896932,0.17896932,0.1786378,1.7035325,0.9235324,1.592933,1.592933,0.9235324,1.592933,0.9235324,0.17896932,-0.02103068,-0.04103068,0.17899024,0.17896932,0.22353244,0.22353244,1.46076,1.4606522,1.4603794,0.17868853,0.1786378,1.0629331,0.9029331,0.29113325,1.5911332,1.5911332,1.6789693,0.3789693,1.6789693,0.1790202,0.17868853,0.8803794,9.2,4.04,-0.019089084,1.28076,0.2212881,1.5212882,1.6429331,1.4605033,1.6429331,1.6429331,1.6429331,-0.5070669,1.592933,1.6235324,1.9235325,1.7035325,1.7035325,-0.6690891,-0.4287119,1.4595926,0.7595235,0.75928646,0.7594427,0.049203463,1.3711332,1.4589694,1.4589694,1.6235324,1.6429331,7.6293944e-08,3.8146972e-08,0.3212881,0.08091091,0.5629331
1500,0.1854948,0.1854948,0.18516414,1.7775295,6.0652924,1.3144578,1.2563133,6.127313,1.3144578,6.0652924,0.1854948,-0.014505207,-0.034505207,0.18551558,0.1854948,0.34404442,0.12697497,1.46728,1.4671725,1.4669007,0.18521473,0.18516414,1.0557947,0.8957947,0.29731414,1.5973141,1.5973141,1.6854948,0.3854948,1.6854948,0.18554537,0.18521473,0.88690066,9.2,4.04,0.12697497,1.28728,0.2212881,1.5212882,1.6357948,1.4670242,1.6357948,1.6357948,1.6357948,-0.5142053,1.3842301,6.7110248,2.9200747,2.0023515,1.8240445,-0.6509408,-0.4287119,1.4661161,0.76604724,0.7658109,0.7659667,0.055728063,1.3773141,1.4654948,1.4654948,2.8759065,1.6357948,7.6293944e-08,3.8146972e-08,0.3212881,0.08743043,0.5557947
1560,0.19790566,0.19790566,0.1976849,1.7892972,6.0540214,1.3031865,1.245042,6.1160417,1.3031865,6.0540214,0.19790566,-0.0020943359,-0.022094335,0.19791962,0.19790566,0.35581216,0.1387427,1.4790977,1.4790261,1.4788444,0.19771875,0.1976849,1.0445234,0.88452333,0.30892506,1.6089251,1.6089251,1.6979057,0.39790568,1.6979057,0.19793953,0.19771875,0.8988444,9.2,4.04,0.1387427,1.2990978,0.2212881,1.5212882,1.6245233,1.478927,1.6245233,1.6245233,1.6245233,-0.5254767,1.3729589,6.6997538,2.9318423,2.0141191,1.8358122,-0.63917303,-0.4287119,1.4783206,0.77827466,0.7781167,0.7782208,0.06806147,1.3889251,1.4779056,1.4779056,2.8876743,1.6245233,7.6293944e-08,3.8146972e-08,0.3212881,0.09919832,0.5445233
1620,0.21146254,0.21146254,0.21146254,1.8015615,6.04275,1.2919152,1.2337707,6.10477,1.2919152,6.04275,0.21146254,0.01146254,-0.00853746,0.21146254,0.21146254,0.36807638,0.15100692,1.4914626,1.4914626,1.4914626,0.21146254,0.21146254,1.0332519,0.8732519,0.32820702,1.628207,1.628207,1.7114625,0.41146255,1.7114625,0.21146254,0.21146254,0.91146255,9.2,4.04,0.15100692,1.3114625,0.2212881,1.5212882,1.6132519,1.4914626,1.6132519,1.6132519,1.6132519,-0.5367481,1.3616874,6.6884823,2.9441066,2.0263834,1.8480763,-0.62690866,-0.4287119,1.4914626,0.79146254,0.79146254,0.79146254,0.08146254,1.408207,1.4914626,1.4914626,2.8999383,1.6132519,7.6293944e-08,3.8146972e-08,0.3212881,0.11146254,0.5332519
1680,0.22576472,0.22576472,0.22576472,1.8158637,6.0314784,1.2806438,1.2224993,6.093499,1.2806438,6.0314784,0.22576472,0.025764719,0.0057647196,0.22576472,0.22576472,0.38237843,0.1653091,1.5057647,1.5057647,1.5057647,0.22576472,0.22576472,1.0219805,0.8619805,0.33502272,1.6350228,1.6350228,1.7257648,0.4257647,1.7257648,0.22576472,0.22576472,0.92576474,9.2,4.04,0.1653091,1.3257648,0.2212881,1.5212882,1.6019804,1.5057647,1.6019804,1.6019804,1.6019804,-0.54801947,1.3504161,6.6772113,2.9584086,2.0406854,1.8623784,-0.61260647,-0.4287119,1.5057647,0.80576473,0.80576473,0.80576473,0.09576472,1.4150227,1.5057647,1.5057647,2.9142404,1.6019804,7.6293944e-08,3.8146972e-08,0.3212881,0.12576471,0.5219805
1740,0.2400669,0.2400669,0.2400669,1.8301657,6.020207,1.2693725,1.211228,6.0822277,1.2693725,6.020207,0.2400669,0.040066898,0.020066898,0.2400669,0.2400669,0.3966806,0.1796113,1.5200669,1.5200669,1.5200669,0.2400669,0.2400669,1.0107093,0.85070926,0.3485729,1.6485729,1.6485729,1.7400669,0.4400669,1.7400669,0.2400669,0.2400669,0.9400669,9.2,4.04,0.1796113,1.3400669,0.2212881,1.5212882,1.5907092,1.5200669,1.5907092,1.5907092,1.5907092,-0.55929077,1.3391448,6.66594,2.9727106,2.0549877,1.8766806,-0.59830433,-0.4287119,1.5200669,0.82006687,0.82006687,0.82006687,0.1100669,1.4285729,1.5200669,1.5200669,2.9285424,1.5907092,7.6293944e-08,3.8146972e-08,0.3212881,0.14006689,0.5107092
