,J_CT3,J_CT6,J_CT5,J2a_15,J1_70,J1_40,J1_50,J1_51,J1_60,J1_61,J2c_12,J2c_14,Jb_53,J2c_11,J2c_13,J2a_20,J2a_30,J2a_33,J2a_23,J2a_41,J_CT1,J_CT2,J1_11,J1_30,J2b_21,J2b_40,J2b_30,J2b_31,J2b_50,J2b_41,J2c_10,J_CT4,J2b_10,J1_10,J1_20,J2a_31,J2a_32,J2a_21,J2a_22,J1-CLin,J2a_40,J1-MPA,J1_33,J1_31,RWtank_Top,J1_34,J2a_10,J2a_12,J2a_13,J2a_14,ER2_Top,ER1_Top,J2b_11,J2b_12,J2b_14,J2b_Leak,J2b_15,J2b_20,J2b_51,J2b_52,J2a_11,J1_32,SWaT,PUB,T1,T2,T0
27720,0.42150727,0.42150727,0.42111775,1.7037873,0.92378736,1.4291079,1.4291079,0.92378736,1.4291079,0.92378736,0.42150727,0.22150728,0.20150727,0.42153183,0.42150727,0.22378737,0.22378737,1.7036102,1.7034836,1.7031633,0.4211775,0.42111775,4.1061563,3.9461563,0.507704,1.8077041,1.8077041,1.9215072,0.6215073,1.9215072,0.42156687,0.4211775,1.1231632,9.2,3.9461563,0.22378737,1.5236102,0.22128622,1.5212862,1.7457731,1.7033089,1.7406448,1.684235,4.6769257,-0.6452512,1.4291079,1.6237874,1.9237874,1.7037873,1.7037873,-0.42621264,-0.4287138,1.702239,1.0021582,1.0018797,1.0020632,0.2917821,1.5877041,1.7015073,1.7015073,1.6237874,1.8996183,7.6293944e-08,3.8146972e-08,0.3212862,0.32378736,0.3991079
27780,0.41877836,0.41877836,0.4183957,1.7010187,0.92101866,1.4381251,1.4381251,0.92101866,1.4381251,0.92101866,0.41877836,0.21877837,0.19877838,0.4188025,0.41877836,0.22101864,0.22101864,1.7008445,1.7007201,1.7004055,0.41845426,0.4183957,4.106156,3.9461558,0.61893374,1.9189337,1.9189337,1.9187784,0.61877835,1.9187784,0.41883695,0.41845426,1.1204054,9.2,3.9461558,0.22101864,1.5208446,0.22128622,1.5212862,1.7547902,1.7005484,1.749662,1.6932521,4.6769247,-0.63623405,1.4381251,1.6210186,1.9210186,1.7010187,1.7010187,-0.42898136,-0.4287138,1.6994973,0.99941784,0.9991442,0.99932456,0.2890484,1.6989337,1.6987784,1.6987784,1.6210186,1.9086355,7.6293944e-08,3.8146972e-08,0.3212862,0.32101864,0.4081251
27840,0.41608202,0.41608202,0.41570735,1.698276,0.9182761,1.4471425,1.4471425,0.9182761,1.4471425,0.9182761,0.41608202,0.21608202,0.19608203,0.41610572,0.41608202,0.21827608,0.21827608,1.6981056,1.6979837,1.6976756,0.4157646,0.41570735,4.1061563,3.9461563,0.61995125,1.9199513,1.9199513,1.916082,0.616082,1.916082,0.41613942,0.4157646,1.1176755,9.2,3.9461563,0.21827608,1.5181056,0.22128622,1.5212862,1.7638075,1.6978157,1.7586794,1.7022694,4.6769257,-0.6272167,1.4471425,1.6182761,1.9182761,1.698276,1.698276,-0.43172392,-0.4287138,1.6967862,0.9967083,0.9964403,0.9966169,0.28634655,1.6999513,1.696082,1.696082,1.6182761,1.9176528,7.6293944e-08,3.8146972e-08,0.3212862,0.31827608,0.41714242
27900,0.41341925,0.41341925,0.41305286,1.6955643,0.9155643,1.4561596,1.4561596,0.9155643,1.4561596,0.9155643,0.41341925,0.21341926,0.19341925,0.41344237,0.41341925,0.21556433,0.21556433,1.6953976,1.6952784,1.6949772,0.41310894,0.41305286,4.106156,3.9461558,0.51330227,1.8133023,1.8133023,1.9134192,0.61341923,1.9134192,0.41347536,0.41310894,1.1149771,9.2,3.9461558,0.21556433,1.5153977,0.22128622,1.5212862,1.7728248,1.695114,1.7676965,1.7112867,4.6769247,-0.6181995,1.4561596,1.6155643,1.9155643,1.6955643,1.6955643,-0.43443567,-0.4287138,1.6941078,0.99403155,0.9937695,0.9939422,0.28367782,1.5933022,1.6934192,1.6934192,1.6155643,1.92667,7.6293944e-08,3.8146972e-08,0.3212862,0.31556433,0.42615962
27960,0.41073948,0.41073948,0.41037294,1.6928854,0.9128854,1.4651768,1.4651768,0.9128854,1.4651768,0.9128854,0.41073948,0.21073948,0.19073948,0.41076258,0.41073948,0.21288542,0.21288542,1.6927186,1.6925994,1.6922979,0.41042903,0.41037294,4.106156,3.9461558,0.5107636,1.8107636,1.8107636,1.9107394,0.61073947,1.9107394,0.41079557,0.41042903,1.112298,9.2,3.9461558,0.21288542,1.5127186,0.22128622,1.5212862,1.7818419,1.692435,1.7767137,1.7203038,4.6769247,-0.60918236,1.4651768,1.6128855,1.9128854,1.6928854,1.6928854,-0.43711457,-0.4287138,1.6914282,0.99135196,0.9910899,0.9912627,0.28099817,1.5907636,1.6907395,1.6907395,1.6128855,1.9356872,7.6293944e-08,3.8146972e-08,0.3212862,0.31288543,0.4351768
28020,0.4080802,0.4080802,0.40771714,1.6902059,0.91020596,1.4741942,1.4741942,0.91020596,1.4741942,0.91020596,0.4080802,0.20808019,0.18808019,0.40810317,0.4080802,0.21020593,0.21020593,1.6900407,1.6899227,1.689624,0.4077728,0.40771714,4.1061563,3.9461563,0.606361,1.906361,1.906361,1.9080802,0.6080802,1.9080802,0.40813586,0.4077728,1.109624,9.2,3.9461563,0.21020593,1.5100406,0.22128622,1.5212862,1.7908592,1.6897597,1.7857311,1.7293211,4.6769257,-0.600165,1.4741942,1.6102059,1.910206,1.6902059,1.6902059,-0.43979406,-0.4287138,1.6887625,0.988687,0.9884273,0.98859847,0.27833644,1.686361,1.6880802,1.6880802,1.6102059,1.9447045,7.6293944e-08,3.8146972e-08,0.3212862,0.31020594,0.4441941
28080,0.4054148,0.4054148,0.4050519,1.6875399,0.90753996,1.4832113,1.4832113,0.90753996,1.4832113,0.90753996,0.4054148,0.2054148,0.1854148,0.40543777,0.4054148,0.20753996,0.20753996,1.6873748,1.6872568,1.6869583,0.4051074,0.4050519,4.106156,3.9461558,0.5057142,1.8057142,1.8057142,1.9054148,0.6054148,1.9054148,0.40547046,0.4051074,1.1069583,9.2,3.9461558,0.20753996,1.5073749,0.22128622,1.5212862,1.7998765,1.6870941,1.7947482,1.7383384,4.6769257,-0.59114784,1.4832113,1.60754,1.90754,1.6875399,1.6875399,-0.44246003,-0.4287138,1.6860969,0.98602146,0.9857619,0.98593295,0.27567104,1.5857142,1.6854148,1.6854148,1.60754,1.9537216,7.6293944e-08,3.8146972e-08,0.3212862,0.30753997,0.4532113
28140,0.4027558,0.4027558,0.4023939,1.6848744,0.90487444,1.4922286,1.4922286,0.90487444,1.4922286,0.90487444,0.4027558,0.20275581,0.18275581,0.40277863,0.4027558,0.20487443,0.20487443,1.6847098,1.6845921,1.6842945,0.40244928,0.4023939,4.106156,3.9461558,0.5040224,1.8040224,1.8040224,1.9027559,0.6027558,1.9027559,0.40281117,0.40244928,1.1042945,9.2,3.9461558,0.20487443,1.5047097,0.22128622,1.5212862,1.8088936,1.6844299,1.8037654,1.7473555,4.6769247,-0.5821305,1.4922286,1.6048744,1.9048744,1.6848744,1.6848744,-0.44512558,-0.4287138,1.6834358,0.9833606,0.9831017,0.9832723,0.27301118,1.5840224,1.6827558,1.6827558,1.6048744,1.9627389,7.6293944e-08,3.8146972e-08,0.3212862,0.30487442,0.46222863
28200,0.40012515,0.40012515,0.39976835,1.6822134,0.9022134,1.5012459,1.5012459,0.9022134,1.5012459,0.9022134,0.40012515,0.20012516,0.18012515,0.40014753,0.40012515,0.20221339,0.20221339,1.6820511,1.6819351,1.6816418,0.39982298,0.39976835,4.106156,3.9461558,0.50069404,1.800694,1.800694,1.9001251,0.60012513,1.9001251,0.40017965,0.39982298,1.1016418,9.2,3.9461558,0.20221339,1.502051,0.22128622,1.5212862,1.8179109,1.6817751,1.8127828,1.7563728,4.6769247,-0.5731133,1.5012459,1.6022134,1.9022135,1.6822134,1.6822134,-0.4477866,-0.4287138,1.6807953,0.9807212,0.9804661,0.98063415,0.27037674,1.580694,1.6801251,1.6801251,1.6022134,1.9717562,7.6293944e-08,3.8146972e-08,0.3212862,0.3022134,0.4712458
28260,0.39753243,0.39753243,0.3971839,1.679573,0.899573,1.510263,1.510263,0.899573,1.510263,0.899573,0.39753243,0.19753243,0.17753243,0.39755437,0.39753243,0.19957301,0.19957301,1.6794143,1.679301,1.6790144,0.39723724,0.3971839,4.1061563,3.9461563,0.49822688,1.7982268,1.7982268,1.8975325,0.59753245,1.8975325,0.39758578,0.39723724,1.0990145,9.2,3.9461563,0.19957301,1.4994143,0.22128622,1.5212862,1.8269281,1.6791447,1.8218,1.76539,4.6769257,-0.56409615,1.510263,1.599573,1.899573,1.679573,1.679573,-0.450427,-0.4287138,1.6781874,0.9781148,0.9778657,0.9780299,0.26777834,1.5782269,1.6775324,1.6775324,1.599573,1.9807733,7.6293944e-08,3.8146972e-08,0.3212862,0.299573,0.480263
28320,0.3949288,0.3949288,0.39458102,1.6769654,0.8969653,1.5192803,1.5192803,0.8969653,1.5192803,0.8969653,0.3949288,0.19492881,0.17492881,0.39495075,0.3949288,0.19696532,0.19696532,1.676807,1.6766939,1.6764079,0.39463422,0.39458102,4.1061563,3.9461563,0.49575913,1.7957591,1.7957591,1.8949288,0.5949288,1.8949288,0.394982,0.39463422,1.0964079,9.2,3.9461563,0.19696532,1.4968071,0.22128622,1.5212862,1.8359452,1.6765379,1.8308171,1.7744071,4.6769257,-0.5550788,1.5192803,1.5969653,1.8969653,1.6769654,1.6769654,-0.45303467,-0.4287138,1.6755824,0.97551,0.97526133,0.9754253,0.2651743,1.5757592,1.6749288,1.6749288,1.5969653,1.9897906,7.6293944e-08,3.8146972e-08,0.3212862,0.29696533,0.4892803
28380,0.39236036,0.39236036,0.39201882,1.6743604,0.89436036,1.5282975,1.5282975,0.89436036,1.5282975,0.89436036,0.39236036,0.19236037,0.17236036,0.39238188,0.39236036,0.19436039,0.19436039,1.6742051,1.674094,1.6738129,0.39207113,0.39201882,4.1061563,3.9461563,0.49331743,1.7933174,1.7933174,1.8923603,0.5923604,1.8923603,0.3924127,0.39207113,1.093813,9.2,3.9461563,0.19436039,1.494205,0.22128622,1.5212862,1.8449626,1.6739407,1.8398345,1.7834245,4.6769257,-0.54606164,1.5282975,1.5943604,1.8943604,1.6743604,1.6743604,-0.4556396,-0.4287138,1.6730024,0.97293127,0.97268695,0.972848,0.2626015,1.5733174,1.6723604,1.6723604,1.5943604,1.9988078,7.6293944e-08,3.8146972e-08,0.3212862,0.2943604,0.4982975
28440,0.3897963,0.3897963,0.38945735,1.6717807,0.89178073,1.5373148,1.5373148,0.89178073,1.5373148,0.89178073,0.3897963,0.18979628,0.16979627,0.38981766,0.3897963,0.19178075,0.19178075,1.6716266,1.6715164,1.6712376,0.38950923,0.38945735,4.1061563,3.9461563,0.49088457,1.7908846,1.7908846,1.8897963,0.5897963,1.8897963,0.38984817,0.38950923,1.0912377,9.2,3.9461563,0.19178075,1.4916265,0.22128622,1.5212862,1.8539798,1.6713643,1.8488517,1.7924417,4.6769257,-0.53704447,1.5373148,1.5917808,1.8917807,1.6717807,1.6717807,-0.45821926,-0.4287138,1.6704333,0.97036266,0.9701204,0.9702801,0.2600355,1.5708846,1.6697962,1.6697962,1.5917808,2.0078251,7.6293944e-08,3.8146972e-08,0.3212862,0.29178074,0.5073148
28500,0.38755688,0.38755688,0.3872742,1.669212,0.889212,1.546332,1.546332,0.889212,1.546332,0.889212,0.38755688,0.18755688,0.16755688,0.38757476,0.38755688,0.18921201,0.18921201,1.6690834,1.6689916,1.668759,0.3873175,0.3872742,4.106156,3.9461558,0.48868734,1.7886873,1.7886873,1.8875569,0.5875569,1.8875569,0.38760018,0.3873175,1.088759,9.2,3.9461558,0.18921201,1.4890834,0.22128622,1.5212862,1.8629969,1.6688646,1.8578688,1.8014588,4.6769247,-0.5280271,1.546332,1.5892121,1.889212,1.669212,1.669212,-0.46078798,-0.4287138,1.6680881,0.9680294,0.9678272,0.96796036,0.25775644,1.5686873,1.6675569,1.6675569,1.5892121,2.0168421,7.6293944e-08,3.8146972e-08,0.3212862,0.28921202,0.51633203
28560,0.38688308,0.38688308,0.38688308,1.6668831,0.8868831,1.5553492,1.5553492,0.8868831,1.5553492,0.8868831,0.38688308,0.18688308,0.16688308,0.38688308,0.38688308,0.18688308,0.18688308,1.6668831,1.6668831,1.6668831,0.38688308,0.38688308,4.106156,3.9461558,0.5331615,1.8331615,1.8331615,1.8868831,0.58688307,1.8868831,0.38688308,0.38688308,1.0868831,9.2,3.9461558,0.18688308,1.486883,0.22128607,1.521286,1.8720143,1.6668831,1.8668861,1.8104762,4.6769257,-0.51900995,1.5553492,1.5868831,1.8868831,1.6668831,1.6668831,-0.4631169,-0.42871392,1.6668831,0.96688306,0.96688306,0.96688306,0.25688308,1.6131616,1.6668831,1.6668831,1.5868831,2.0258594,7.6293944e-08,3.8146972e-08,0.32128608,0.2868831,0.5253492
28620,0.38688308,0.38688308,0.38688308,1.6668831,0.8868831,1.5643666,1.5643666,0.8868831,1.5643666,0.8868831,0.38688308,0.18688308,0.16688308,0.38688308,0.38688308,0.18688308,0.18688308,1.6668831,1.6668831,1.6668831,0.38688308,0.38688308,4.106156,3.9461558,0.48766938,1.7876694,1.7876694,1.8868831,0.58688307,1.8868831,0.38688308,0.38688308,1.0868831,9.2,3.9461558,0.18688308,1.486883,0.22128607,1.521286,1.8810315,1.6668831,1.8759034,1.8194934,4.6769247,-0.5099926,1.5643666,1.5868831,1.8868831,1.6668831,1.6668831,-0.4631169,-0.42871392,1.6668831,0.96688306,0.96688306,0.96688306,0.25688308,1.5676694,1.6668831,1.6668831,1.5868831,2.0348768,7.6293944e-08,3.8146972e-08,0.32128608,0.2868831,0.53436655
28680,0.38688293,0.38688293,0.38688293,1.666883,0.88688296,1.5733837,1.5733837,0.88688296,1.5733837,0.88688296,0.38688293,0.18688294,0.16688293,0.38688293,0.38688293,0.18688294,0.18688294,1.666883,1.666883,1.666883,0.38688293,0.38688293,4.106156,3.9461558,0.48766923,1.7876692,1.7876692,1.8868829,0.58688295,1.8868829,0.38688293,0.38688293,1.086883,9.2,3.9461558,0.18688294,1.4868829,0.22128607,1.521286,1.8900486,1.666883,1.8849205,1.8285105,4.6769247,-0.50097543,1.5733837,1.586883,1.8868829,1.666883,1.666883,-0.46311706,-0.42871392,1.666883,0.96688294,0.96688294,0.96688294,0.25688294,1.5676693,1.666883,1.666883,1.586883,2.043894,7.6293944e-08,3.8146972e-08,0.32128608,0.28688294,0.5433837
28740,0.38688293,0.38688293,0.38688293,1.666883,0.88688296,1.5824009,1.5824009,0.88688296,1.5824009,0.88688296,0.38688293,0.18688294,0.16688293,0.38688293,0.38688293,0.18688294,0.18688294,1.666883,1.666883,1.666883,0.38688293,0.38688293,4.106156,3.9461558,0.48766923,1.7876692,1.7876692,1.8868829,0.58688295,1.8868829,0.38688293,0.38688293,1.086883,9.2,3.9461558,0.18688294,1.4868829,0.22128607,1.521286,1.899066,1.666883,1.8939378,1.8375279,4.6769247,-0.49195823,1.5824009,1.586883,1.8868829,1.666883,1.666883,-0.46311706,-0.42871392,1.666883,0.96688294,0.96688294,0.96688294,0.25688294,1.5676693,1.666883,1.666883,1.586883,2.052911,7.6293944e-08,3.8146972e-08,0.32128608,0.28688294,0.5524009
28800,0.38688278,0.38688278,0.38688278,1.6668828,0.8868828,1.5914183,1.5914183,0.8868828,1.5914183,0.8868828,0.38688278,0.1868828,0.1668828,0.38688278,0.38688278,0.1868828,0.1868828,1.6668828,1.6668828,1.6668828,0.38688278,0.38688278,4.106156,3.9461558,0.48766908,1.7876691,1.7876691,1.8868828,0.58688277,1.8868828,0.38688278,0.38688278,1.0868828,9.2,3.9461558,0.1868828,1.4868828,0.22128607,1.521286,1.9080832,1.6668828,1.902955,1.8465451,4.6769247,-0.4829409,1.5914183,1.5868828,1.8868828,1.6668828,1.6668828,-0.4631172,-0.42871392,1.6668828,0.96688277,0.96688277,0.96688277,0.2568828,1.567669,1.6668828,1.6668828,1.5868828,2.0619283,7.6293944e-08,3.8146972e-08,0.32128608,0.2868828,0.56141824
28860,0.38688278,0.38688278,0.38688278,1.6668828,0.8868828,1.6004354,1.6004354,0.8868828,1.6004354,0.8868828,0.38688278,0.1868828,0.1668828,0.38688278,0.38688278,0.1868828,0.1868828,1.6668828,1.6668828,1.6668828,0.38688278,0.38688278,4.1061563,3.9461563,0.476241,1.776241,1.776241,1.8868828,0.58688277,1.8868828,0.38688278,0.38688278,1.0868828,9.2,3.9461563,0.1868828,1.4868828,0.22128607,1.521286,1.9171003,1.6668828,1.9119722,1.8555622,4.6769257,-0.47392374,1.6004354,1.5868828,1.8868828,1.6668828,1.6668828,-0.4631172,-0.42871392,1.6668828,0.96688277,0.96688277,0.96688277,0.2568828,1.556241,1.6668828,1.6668828,1.5868828,2.0709457,7.6293944e-08,3.8146972e-08,0.32128608,0.2868828,0.5704354
28920,0.38688278,0.38688278,0.38688278,1.6668828,0.8868828,1.6059961,1.6059961,0.8868828,1.6059961,0.8868828,0.38688278,0.1868828,0.1668828,0.38688278,0.38688278,0.1868828,0.1868828,1.6668828,1.6668828,1.6668828,0.38688278,0.38688278,1.0759962,0.9159961,0.48766908,1.7876691,1.7876691,1.8868828,0.58688277,1.8868828,0.38688278,0.38688278,1.0868828,9.2,4.04,0.1868828,1.4868828,0.22128607,1.521286,1.6559961,1.6668828,1.6559961,1.6559961,1.6559961,-0.4940039,1.6059961,1.5868828,1.8868828,1.6668828,1.6668828,-0.4631172,-0.42871392,1.6668828,0.96688277,0.96688277,0.96688277,0.2568828,1.567669,1.6668828,1.6668828,1.5868828,1.6559961,7.6293944e-08,3.8146972e-08,0.32128608,0.2868828,0.5759961
28980,0.38688278,0.38688278,0.38688278,1.6668828,0.8868828,1.6059963,1.6059963,0.8868828,1.6059963,0.8868828,0.38688278,0.1868828,0.1668828,0.38688278,0.38688278,0.1868828,0.1868828,1.6668828,1.6668828,1.6668828,0.38688278,0.38688278,1.0759963,0.91599625,0.48766908,1.7876691,1.7876691,1.8868828,0.58688277,1.8868828,0.38688278,0.38688278,1.0868828,9.2,4.04,0.1868828,1.4868828,0.22128607,1.521286,1.6559962,1.6668828,1.6559962,1.6559962,1.6559962,-0.49400374,1.6059963,1.5868828,1.8868828,1.6668828,1.6668828,-0.4631172,-0.42871392,1.6668828,0.96688277,0.96688277,0.96688277,0.2568828,1.567669,1.6668828,1.6668828,1.5868828,1.6559962,7.6293944e-08,3.8146972e-08,0.32128608,0.2868828,0.5759962
29040,0.38688263,0.38688263,0.38688263,1.6668826,0.88688266,1.6059965,1.6059965,0.88688266,1.6059965,0.88688266,0.38688263,0.18688264,0.16688265,0.38688263,0.38688263,0.18688264,0.18688264,1.6668826,1.6668826,1.6668826,0.38688263,0.38688263,1.0759965,0.91599655,0.48766893,1.787669,1.787669,1.8868827,0.58688265,1.8868827,0.38688263,0.38688263,1.0868826,9.2,4.04,0.18688264,1.4868827,0.22128607,1.521286,1.6559966,1.6668826,1.6559966,1.6559966,1.6559966,-0.49400347,1.6059965,1.5868826,1.8868827,1.6668826,1.6668826,-0.46311736,-0.42871392,1.6668826,0.96688265,0.96688265,0.96688265,0.25688264,1.5676689,1.6668826,1.6668826,1.5868826,1.6559966,7.6293944e-08,3.8146972e-08,0.32128608,0.28688264,0.5759965
29100,0.38688263,0.38688263,0.38688263,1.6668826,0.88688266,1.6059967,1.6059967,0.88688266,1.6059967,0.88688266,0.38688263,0.18688264,0.16688265,0.38688263,0.38688263,0.18688264,0.18688264,1.6668826,1.6668826,1.6668826,0.38688263,0.38688263,1.0759966,0.9159967,0.48766893,1.787669,1.787669,1.8868827,0.58688265,1.8868827,0.38688263,0.38688263,1.0868826,9.2,4.04,0.18688264,1.4868827,0.22128607,1.521286,1.6559967,1.6668826,1.6559967,1.6559967,1.6559967,-0.49400333,1.6059967,1.5868826,1.8868827,1.6668826,1.6668826,-0.46311736,-0.42871392,1.6668826,0.96688265,0.96688265,0.96688265,0.25688264,1.5676689,1.6668826,1.6668826,1.5868826,1.6559967,7.6293944e-08,3.8146972e-08,0.32128608,0.28688264,0.5759967
29160,0.38688263,0.38688263,0.38688263,1.6668826,0.88688266,1.6059968,1.6059968,0.88688266,1.6059968,0.88688266,0.38688263,0.18688264,0.16688265,0.38688263,0.38688263,0.18688264,0.18688264,1.6668826,1.6668826,1.6668826,0.38688263,0.38688263,1.0759969,0.91599685,0.48766893,1.787669,1.787669,1.8868827,0.58688265,1.8868827,0.38688263,0.38688263,1.0868826,9.2,4.04,0.18688264,1.4868827,0.22128607,1.521286,1.6559968,1.6668826,1.6559968,1.6559968,1.6559968,-0.49400318,1.6059968,1.5868826,1.8868827,1.6668826,1.6668826,-0.46311736,-0.42871392,1.6668826,0.96688265,0.96688265,0.96688265,0.25688264,1.5676689,1.6668826,1.6668826,1.5868826,1.6559968,7.6293944e-08,3.8146972e-08,0.32128608,0.28688264,0.5759968
29220,0.3868825,0.3868825,0.3868825,1.6668825,0.8868825,1.605997,1.605997,0.8868825,1.605997,0.8868825,0.3868825,0.1868825,0.1668825,0.3868825,0.3868825,0.1868825,0.1868825,1.6668825,1.6668825,1.6668825,0.3868825,0.3868825,1.075997,0.91599697,0.48766893,1.787669,1.787669,1.8868825,0.5868825,1.8868825,0.3868825,0.3868825,1.0868825,9.2,4.04,0.1868825,1.4868824,0.22128607,1.521286,1.6559969,1.6668825,1.6559969,1.6559969,1.6559969,-0.49400303,1.605997,1.5868825,1.8868825,1.6668825,1.6668825,-0.4631175,-0.42871392,1.6668825,0.9668825,0.9668825,0.9668825,0.2568825,1.5676689,1.6668825,1.6668825,1.5868825,1.6559969,7.6293944e-08,3.8146972e-08,0.32128608,0.2868825,0.575997
29280,0.3868825,0.3868825,0.3868825,1.6668825,0.8868825,1.6059973,1.6059973,0.8868825,1.6059973,0.8868825,0.3868825,0.1868825,0.1668825,0.3868825,0.3868825,0.1868825,0.1868825,1.6668825,1.6668825,1.6668825,0.3868825,0.3868825,1.0759972,0.91599727,0.48766878,1.7876688,1.7876688,1.8868825,0.5868825,1.8868825,0.3868825,0.3868825,1.0868825,9.2,4.04,0.1868825,1.4868824,0.22128607,1.521286,1.6559973,1.6668825,1.6559973,1.6559973,1.6559973,-0.49400273,1.6059973,1.5868825,1.8868825,1.6668825,1.6668825,-0.4631175,-0.42871392,1.6668825,0.9668825,0.9668825,0.9668825,0.2568825,1.5676688,1.6668825,1.6668825,1.5868825,1.6559973,7.6293944e-08,3.8146972e-08,0.32128608,0.2868825,0.5759973
29340,0.3868825,0.3868825,0.3868825,1.6668825,0.8868825,1.6059974,1.6059974,0.8868825,1.6059974,0.8868825,0.3868825,0.1868825,0.1668825,0.3868825,0.3868825,0.1868825,0.1868825,1.6668825,1.6668825,1.6668825,0.3868825,0.3868825,1.0759974,0.9159974,0.5855877,1.8855877,1.8855877,1.8868825,0.5868825,1.8868825,0.3868825,0.3868825,1.0868825,9.2,4.04,0.1868825,1.4868824,0.22128607,1.521286,1.6559974,1.6668825,1.6559974,1.6559974,1.6559974,-0.49400258,1.6059974,1.5868825,1.8868825,1.6668825,1.6668825,-0.4631175,-0.42871392,1.6668825,0.9668825,0.9668825,0.9668825,0.2568825,1.6655877,1.6668825,1.6668825,1.5868825,1.6559974,7.6293944e-08,3.8146972e-08,0.32128608,0.2868825,0.5759974
29400,0.3868825,0.3868825,0.3868825,1.6668825,0.8868825,1.6059976,1.6059976,0.8868825,1.6059976,0.8868825,0.3868825,0.1868825,0.1668825,0.3868825,0.3868825,0.1868825,0.1868825,1.6668825,1.6668825,1.6668825,0.3868825,0.3868825,1.0759976,0.91599756,0.48766878,1.7876688,1.7876688,1.8868825,0.5868825,1.8868825,0.3868825,0.3868825,1.0868825,9.2,4.04,0.1868825,1.4868824,0.22128607,1.521286,1.6559975,1.6668825,1.6559975,1.6559975,1.6559975,-0.49400243,1.6059976,1.5868825,1.8868825,1.6668825,1.6668825,-0.4631175,-0.42871392,1.6668825,0.9668825,0.9668825,0.9668825,0.2568825,1.5676688,1.6668825,1.6668825,1.5868825,1.6559975,7.6293944e-08,3.8146972e-08,0.32128608,0.2868825,0.57599753
29460,0.3868825,0.3868825,0.3868825,1.6668825,0.8868825,1.6059977,1.6059977,0.8868825,1.6059977,0.8868825,0.3868825,0.1868825,0.1668825,0.3868825,0.3868825,0.1868825,0.1868825,1.6668825,1.6668825,1.6668825,0.3868825,0.3868825,1.0759977,0.9159977,0.59200746,1.8920075,1.8920075,1.8868825,0.5868825,1.8868825,0.3868825,0.3868825,1.0868825,9.2,4.04,0.1868825,1.4868824,0.22128607,1.521286,1.6559978,1.6668825,1.6559978,1.6559978,1.6559978,-0.4940023,1.6059977,1.5868825,1.8868825,1.6668825,1.6668825,-0.4631175,-0.42871392,1.6668825,0.9668825,0.9668825,0.9668825,0.2568825,1.6720074,1.6668825,1.6668825,1.5868825,1.6559978,7.6293944e-08,3.8146972e-08,0.32128608,0.2868825,0.5759977
29520,0.38688236,0.38688236,0.38688236,1.6668824,0.88688236,1.605998,1.605998,0.88688236,1.605998,0.88688236,0.38688236,0.18688236,0.16688235,0.38688236,0.38688236,0.18688236,0.18688236,1.6668824,1.6668824,1.6668824,0.38688236,0.38688236,1.075998,0.915998,0.48766878,1.7876688,1.7876688,1.8868823,0.58688235,1.8868823,0.38688236,0.38688236,1.0868824,9.2,4.04,0.18688236,1.4868823,0.22128607,1.521286,1.655998,1.6668824,1.655998,1.655998,1.655998,-0.494002,1.605998,1.5868824,1.8868823,1.6668824,1.6668824,-0.46311763,-0.42871392,1.6668824,0.96688235,0.96688235,0.96688235,0.25688237,1.5676688,1.6668824,1.6668824,1.5868824,1.655998,7.6293944e-08,3.8146972e-08,0.32128608,0.28688237,0.575998
29580,0.38688236,0.38688236,0.38688236,1.6668824,0.88688236,1.6059982,1.6059982,0.88688236,1.6059982,0.88688236,0.38688236,0.18688236,0.16688235,0.38688236,0.38688236,0.18688236,0.18688236,1.6668824,1.6668824,1.6668824,0.38688236,0.38688236,1.0759982,0.91599816,0.48766863,1.7876686,1.7876686,1.8868823,0.58688235,1.8868823,0.38688236,0.38688236,1.0868824,9.2,4.04,0.18688236,1.4868823,0.22128592,1.5212859,1.6559981,1.6668824,1.6559981,1.6559981,1.6559981,-0.49400187,1.6059982,1.5868824,1.8868823,1.6668824,1.6668824,-0.46311763,-0.42871407,1.6668824,0.96688235,0.96688235,0.96688235,0.25688237,1.5676687,1.6668824,1.6668824,1.5868824,1.6559981,7.6293944e-08,3.8146972e-08,0.32128593,0.28688237,0.5759981
29640,0.38688236,0.38688236,0.38688236,1.6668824,0.88688236,1.6059983,1.6059983,0.88688236,1.6059983,0.88688236,0.38688236,0.18688236,0.16688235,0.38688236,0.38688236,0.18688236,0.18688236,1.6668824,1.6668824,1.6668824,0.38688236,0.38688236,1.0759983,0.9159983,0.48766863,1.7876686,1.7876686,1.8868823,0.58688235,1.8868823,0.38688236,0.38688236,1.0868824,9.2,4.04,0.18688236,1.4868823,0.22128592,1.5212859,1.6559982,1.6668824,1.6559982,1.6559982,1.6559982,-0.49400172,1.6059983,1.5868824,1.8868823,1.6668824,1.6668824,-0.46311763,-0.42871407,1.6668824,0.96688235,0.96688235,0.96688235,0.25688237,1.5676687,1.6668824,1.6668824,1.5868824,1.6559982,7.6293944e-08,3.8146972e-08,0.32128593,0.28688237,0.5759983
