timestamps,TANK_LEVEL,RESERVOIR_LEVEL,J421,J332,J156,J39,J269,J273,J280,J285,FLOW_PUMP1,FLOW_PUMP2,STATUS_PUMP1,STATUS_PUMP2,Attack#01,Attack#02
26:35.9,1.731974009,59,38.79775308,27.53031844,35.91970565,27.82608677,36.09203296,36.0975836,2.976341442,2.972172281,0.094180488,0.094198783,1,1,0,0
26:37.7,1.804865031,59,38.86387438,27.59998589,35.95993439,27.89684916,36.13224338,36.13778578,2.976376605,2.972213639,0.094104884,0.094123157,1,1,0,0
26:39.4,1.877579163,59,38.92984045,27.66948688,36.00007564,27.96744308,36.17236636,36.17790052,2.976411676,2.972254891,0.094029423,0.094047673,1,1,0,0
26:41.1,1.95011674,59,39.99668871,27.73065186,36.2333405,28.21235202,36.40552517,36.41101158,2.976615206,2.972494284,0.093590479,0.093608602,1,1,0,0
26:42.8,2.035987927,59,40.07339042,27.81230469,36.28043602,28.2953513,36.4525993,36.45807609,2.976656241,2.972542549,0.093501768,0.093519866,1,1,0,0
26:44.6,2.121651559,59,40.14991289,27.89376335,36.32743134,28.37815406,36.4995733,36.50504049,2.976697169,2.97259069,0.093413216,0.093431288,1,1,0,0
26:46.3,2.207108008,59,40.22625642,27.97502816,36.37432659,28.46076065,36.54644729,36.5519049,2.976737991,2.972638705,0.093324823,0.093342869,1,1,0,0
26:48.0,2.292357644,59,39.87375424,24.80000303,35.89101607,28.20794155,36.06335645,36.06891297,2.976316358,2.972142776,0.094234393,0.094252703,1,1,0,0
26:49.8,2.348834923,59,39.92476431,24.85394246,35.92240323,28.26308282,36.09472931,36.1002794,2.976343801,2.972175055,0.094175419,0.094193712,1,1,0,0
26:51.5,2.405174223,59,39.97565289,24.90775195,35.95372005,28.31809159,36.12603187,36.13157553,2.976371174,2.972207251,0.094116564,0.09413484,1,1,0,0
26:53.6,2.461375821,59,40.02642022,24.96143175,35.98496664,28.37296811,36.15726424,36.1628015,2.976398477,2.972239366,0.094057828,0.094076087,1,1,0,0
26:55.3,2.517439995,59,40.1781933,21.53445984,36.3397875,28.41019162,36.51192386,36.51738852,2.976707927,2.972603343,0.093389929,0.093407994,1,1,0,0
26:57.1,2.571518154,59,40.22701077,21.58595976,36.36970278,28.46303871,36.54182557,36.54728412,2.976733967,2.972633972,0.093333539,0.093351589,1,1,0,0
26:58.8,2.625464379,59,40.27571199,21.63733579,36.39955082,28.51575891,36.57166007,36.57711254,2.976759941,2.972664522,0.093277265,0.093295298,1,1,0,0
27:00.5,2.679278939,59,40.32429722,21.68858818,36.42933174,28.56835249,36.6014275,36.60687388,2.976785849,2.972694995,0.093221104,0.093239121,1,1,0,0
27:02.2,2.732962103,59,40.24916777,21.63703483,36.23290238,28.55919944,36.40508725,36.41057375,2.976614824,2.972493835,0.093591304,0.093609428,1,1,0,0
27:04.0,2.779463994,59,40.29129303,21.68143876,36.2587768,28.60476578,36.43094992,36.43643113,2.976637371,2.972520355,0.09354257,0.09356068,1,1,0,0
27:05.7,2.825851863,59,40.33331724,21.7257352,36.28459215,28.65022201,36.45675355,36.46222949,2.976659861,2.972546808,0.093493938,0.093512034,1,1,0,0
27:07.4,2.872125949,59,40.37524059,21.7699244,36.31034855,28.69556835,36.48249826,36.48796893,2.976682294,2.972573193,0.093445408,0.09346349,1,1,0,0
27:09.1,2.918286491,59,40.70636866,22.3553582,36.84302994,28.8954064,37.01493859,37.02030073,2.977144943,2.973117365,0.092439703,0.092457495,1,1,0,0
27:10.9,2.980835794,59,40.76262305,22.41475702,36.87746779,28.95634553,37.0493609,37.05471604,2.977174768,2.973152445,0.09237455,0.092392323,1,1,0,0
27:12.6,3.043232659,59,40.81874399,22.47401326,36.91182924,29.01713873,37.08370685,37.08905501,2.977204516,2.973187436,0.092309525,0.092327279,1,1,0,0
27:14.3,3.105477386,59,40.87473174,22.53312719,36.94611441,29.07778628,37.11797656,37.12331776,2.977234188,2.973222336,0.092244628,0.092262363,1,1,0,0
27:16.0,3.167570275,59,41.1572395,23.17047227,37.34530865,29.27372507,37.51699118,37.52225151,2.977578909,2.9736278,0.0914878,0.091505318,1,1,0,0
27:17.8,3.241455191,59,41.22336483,23.24038251,37.38571357,29.34542466,37.55737796,37.56263013,2.977613722,2.973668747,0.091411072,0.091428569,1,1,0,0
27:19.5,3.315160588,59,41.28933427,23.31012563,37.4260305,29.41695335,37.5976768,37.60292082,2.977648445,2.973709588,0.091334489,0.091351963,1,1,0,0
27:21.2,3.388686805,59,41.35514808,23.37970194,37.46625956,29.48831145,37.63788781,37.64312371,2.977683078,2.973750324,0.091258049,0.091275501,1,1,0,0
27:23.0,3.462034176,59,39.41580903,23.05010232,36.28739389,29.11242255,36.45955402,36.46502939,2.976662302,2.972549678,0.093488659,0.093506754,1,1,0,0
27:24.8,3.478569187,59,39.43127493,23.06610118,36.29679527,29.12881666,36.46895113,36.47442457,2.97667049,2.97255931,0.093470946,0.093489035,1,1,0,0
27:26.5,3.495062755,59,39.44670248,23.08206019,36.30617371,29.14516995,36.47832532,36.48379685,2.976678658,2.972568917,0.093453275,0.093471359,1,1,0,0
27:28.2,3.511514977,59,39.46209177,23.09797945,36.31552927,29.16148254,36.48767664,36.49314625,2.976686805,2.9725785,0.093435646,0.093453724,1,1,0,0
27:29.9,3.527925952,59,38.55687965,28.885703,36.29641763,29.17252386,36.46857366,36.47404719,2.976670161,2.972558923,0.093471658,0.093489747,1,1,0,0
27:31.7,3.542677257,59,38.5709724,28.90012381,36.3049192,29.18715955,36.47707138,36.48254317,2.976677566,2.972567632,0.093455639,0.093473723,1,1,0,0
27:33.4,3.557391082,59,38.58502974,28.91450819,36.31339972,29.20175829,36.48554804,36.4910181,2.976684951,2.972576319,0.093439659,0.093457739,1,1,0,0
27:35.1,3.572067519,59,38.59905176,28.92885624,36.32185921,29.21632016,36.4940037,36.49947203,2.976692317,2.972584983,0.093423717,0.093441792,1,1,0,0
27:36.8,3.586706658,59,39.27715102,31.51071226,36.91950051,29.66689087,37.09137466,37.09672127,2.977211156,2.973195246,0.092295006,0.092312755,1,1,0,0
27:38.6,3.658433482,59,39.34380022,31.57995725,36.95974438,29.73650207,37.13160039,37.13693883,2.977245982,2.973236207,0.092218823,0.092236551,1,1,0,0
27:40.7,3.729982064,59,39.41029031,31.64903369,36.99989902,29.80594358,37.17173693,37.17706722,2.977280715,2.973277062,0.092142788,0.092160494,1,1,0,0
27:42.5,3.801352747,59,39.4766216,31.71794189,37.03996456,29.87521569,37.21178441,37.21710658,2.977315358,2.973317809,0.092066899,0.092084583,1,1,0,0
27:44.2,3.872545874,59,39.42993756,31.01837707,36.64326883,29.69995439,36.81526773,36.8206705,2.976971735,2.972913636,0.09281731,0.09283521,1,1,0,0
27:45.9,3.91919017,59,39.47354263,31.06370165,36.66973507,29.7456364,36.841722,36.84711938,2.976994703,2.972940652,0.092767312,0.092785198,1,1,0,0
27:47.7,3.965717487,59,39.51704134,31.10891402,36.69613975,29.79120554,36.86811474,36.87350676,2.977017612,2.972967597,0.092717422,0.092735293,1,1,0,0
27:49.4,4.012128077,59,39.56043392,31.1540144,36.72248299,29.83666204,36.89444608,36.89983273,2.977040461,2.972994473,0.092667638,0.092685495,1,1,0,0
27:51.2,4.058422188,59,39.17202302,29.46635416,36.50645897,29.70481209,36.67851979,36.68395044,2.976852909,2.972773872,0.093075603,0.093093578,1,1,0,0
27:52.9,4.073744377,59,39.18662068,29.48132867,36.51529966,29.72000991,36.68735647,36.69278532,2.976860593,2.97278291,0.09305892,0.09307689,1,1,0,0
27:54.6,4.089027534,59,39.20118157,29.49626526,36.52411841,29.73516927,36.69617123,36.70159828,2.976868256,2.972791924,0.093042277,0.093060242,1,1,0,0
27:56.4,4.104271751,59,39.21570578,29.51116402,36.53291528,29.75029025,36.70496411,36.71038937,2.9768759,2.972800915,0.093025674,0.093043635,1,1,0,0
27:58.1,4.119477123,59,39.20730953,29.45892131,36.27655294,29.74500315,36.44871799,36.45419557,2.976652858,2.972538571,0.093509084,0.093527184,1,1,0,0
27:59.8,4.126063788,59,39.21361122,29.46538441,36.28038297,29.75156361,36.45254628,36.45802308,2.976656195,2.972542495,0.093501868,0.093519966,1,1,0,0
28:01.5,4.132633571,59,39.21989685,29.47183099,36.2842033,29.75810731,36.45636487,36.46184089,2.976659522,2.972546409,0.093494671,0.093512766,1,1,0,0
28:03.3,4.139186514,59,39.22616645,29.4782611,36.28801395,29.7646343,36.4601738,36.46564904,2.976662842,2.972550314,0.093487491,0.093505585,1,1,0,0
28:05.1,4.14572266,59,39.0664915,28.91149833,35.37363328,29.68293599,35.54621,35.55187294,2.975862769,2.971609262,0.095204618,0.095223211,1,1,0,0
28:06.8,4.117315625,59,39.03952771,28.88393134,35.35706817,29.65492005,35.52965248,35.53531883,2.975848209,2.971592136,0.095235623,0.095254225,1,1,0,0
28:08.6,4.088981133,59,39.01263251,28.85643379,35.34054641,29.62697475,35.51313829,35.51880804,2.975833684,2.971575052,0.095266544,0.095285155,1,1,0,0
28:10.3,4.060718984,59,38.98580573,28.82900548,35.32406788,29.59909988,35.4966673,35.50234046,2.975819195,2.97155801,0.09529738,0.095316,1,1,0,0
28:12.1,4.032528983,59,38.84475449,23.81030182,35.11543318,29.39694282,35.28812829,35.29384453,2.975635549,2.971342004,0.095687487,0.095706221,1,1,0,0
28:13.8,3.980315965,59,38.79574524,23.76044425,35.08535151,29.34592056,35.25806044,35.2637829,2.97560904,2.971310824,0.095743687,0.095762438,1,1,0,0
28:15.5,3.928234437,59,38.7468586,23.71070923,35.05534911,29.29502386,35.22807182,35.23380048,2.975582593,2.971279717,0.095799728,0.095818494,1,1,0,0
28:17.3,3.876284025,59,38.69809423,23.66109645,35.02542573,29.24425237,35.19816219,35.20389704,2.975556208,2.971248682,0.095855609,0.095874392,1,1,0,0
28:19.0,3.824464358,59,38.71421981,22.14691386,35.48472046,29.26401052,35.65724634,35.66288638,2.975960353,2.97172404,0.0949966,0.095015133,1,1,0,0
28:20.7,3.781197812,59,38.67346429,22.1055084,35.45988303,29.22158386,35.63242027,35.63806543,2.975938544,2.971698389,0.095043124,0.09506167,1,1,0,0
28:22.4,3.738040116,59,38.63281075,22.06420507,35.43511043,29.17926191,35.60765901,35.61330927,2.975916786,2.971672797,0.095089518,0.095108078,1,1,0,0
28:24.1,3.694990969,59,38.59225891,22.02300358,35.41040247,29.13704439,35.58296236,35.58861771,2.97589508,2.971647267,0.095135784,0.095154356,1,1,0,0
28:26.2,3.652050067,59,38.65608014,22.444386,35.69128849,29.16975014,35.86371997,35.86931751,2.976141529,2.971937142,0.094609355,0.094627774,1,1,0,0
28:27.9,3.620203946,59,38.62597285,22.41376427,35.6730019,29.13838099,35.84544173,35.85104302,2.976125505,2.971918294,0.094643659,0.094662088,1,1,0,0
28:29.7,3.588438085,59,38.5959411,22.38321858,35.65476264,29.10708978,35.82721079,35.83281584,2.97610952,2.971899492,0.09467787,0.094696309,1,1,0,0
28:31.4,3.556752267,59,38.56598469,22.35274873,35.63657056,29.07587631,35.80902702,35.81463581,2.976093573,2.971880735,0.094711988,0.094730437,1,1,0,0
28:33.2,3.525146274,59,38.80526059,27.31549632,36.24023379,29.16606937,36.41241533,36.41790034,2.976621213,2.97250135,0.093577496,0.093595616,1,1,0,0
28:34.9,3.538663438,59,38.81809455,27.32866902,36.24799814,29.17948855,36.42017615,36.42565957,2.976627979,2.972509308,0.093562873,0.093580988,1,1,0,0
